mbid,artist_lastfm,country_lastfm,listeners_lastfm,scrobbles_lastfm
2ad66473-ccb3-41d2-8756-b56680cdfe62,Blake Shelton,United States,735983,9127868
1b8ed32a-294c-4224-a770-2c20b8a5b0c1,Blue Sky Black Death,United States,189304,5996160
0dd79a1d-021f-4159-8a7d-d9c107e52a9d,Bran Van 3000,Canada,253298,3062632
8bc1e091-b42a-4a7a-9ffb-d638fe52e2b0,Burt Reynolds,United States,946,4114
7b8e1188-9ca4-4aa5-8393-172de6fa04de,Celia Cruz,Cuba; Spain,300699,2151514
afd456eb-12fe-40e8-a6c8-2b4954d908f8,Charo,Mexico; Spain,9939,55275
25da8f56-8e67-4a35-bb1a-cdaebddd7c6b,Chris Hodge,,1279,2989
e6424fa5-08d3-41c6-96f3-8549f733708c,Clipse,United States,615374,7723234
cfafad90-b736-4c74-8ded-f3f4d7b2c792,"Crosby, Stills & Nash",United States,626288,7195477
61a64e46-1558-4d13-b365-af150bdbe604,Crywolf,United States,72560,993815
012f4bf6-4040-42c9-a7d0-6e72463d1f65,Dafydd Iwan,,1188,12835
705437f2-abfb-4354-a75d-07c9fb411c17,Darryl Rhoades,United States,959,2933
5c7c8529-dcbb-4ff8-b2c9-d363a91756ea,Debbie Gibson,United States,175753,1102859
1aaaeddb-4091-4c79-af13-41c012af02c7,Diana DeGarmo,United States,33824,229582
1c893468-37a9-4fb7-909f-929751a8ebed,Dr. Hook,Jersey; United States,283919,2155106
07aaebd9-0c37-4a65-80c8-48ae7cc99337,Dwight Twilley,United States,14314,86586
f46bd570-5768-462e-b84c-c7c993bbf47e,Eagles,United States,2065671,34474549
5c44b1b8-07ad-4aca-ac5d-ebdad8e62e12,Earl Klugh,Brazil; United States,134820,1380971
7119d597-5bda-4360-8b2b-892000e3d781,François de Roubaix,Canada; France,34045,381219
6ced1a26-0002-4bdd-8e69-5f80f04826b7,Frankie J,Mexico; Spain; United States,236420,1654763
d530dad4-81e5-4874-808a-d708039289fb,Gavin Rossdale,United Kingdom,139558,1290740
16cea8ac-a655-4500-9c99-c3bbcc133fed,Glad,Lithuania; United States,9381,107788
9b952ee8-d45d-4a26-8066-57849d871e06,Government Issue,United States,36379,568648
103241b0-6adf-4b4f-9cff-5c87459f61a4,Grand Funk Railroad,United States,493284,5356753
b250533d-2823-4f5d-81a6-615eaf1bf170,Guana Batz,United Kingdom,69675,752219
e9db9076-5242-434d-8995-47eab459e506,Guillermo Gregorio,Argentina; United States,893,9751
194eeda1-e662-43bc-b9be-32fc1afecc8b,Hawthorne Heights,United States,580406,12136653
4c26c541-341b-49b6-9eb3-a0b28574963d,Hedgehoppers Anonymous,United Kingdom,8207,26553
2fa0d3ac-b64c-401a-b0a1-4915ba6cc157,Hoobastank,United States,1784634,29014005
fb73bfb3-f95a-4bad-b703-cb83df3c3184,Horace Pinker,United States,3412,43716
d8915e13-d67a-4aa0-9c0b-1f126af951af,Hot Chip,United Kingdom,1464154,45412531
b4691384-50c3-4afd-9988-51d3ec5db65d,Hozier,Ireland,890930,22980157
6d1164bb-251f-4efe-a744-a179acc2eceb,Hyper,United Kingdom,165135,1415791
a03f80bf-0139-4034-bee4-d245002fe18c,Ian Whitcomb,United Kingdom,5097,21088
dd1291bb-7e25-41b3-89f7-85fb74079ed5,James Clarke,,16544,81967
147e02b6-9ea1-4127-85f9-7393a4a5b0d9,James Gilreath,,740,2094
1e8071ac-3b84-4fc1-8ee5-a438a26879f7,Jim Stafford,,15161,67066
85d019b7-91f9-4b75-8560-d5bbe90c868c,Julie Roberts,,68837,451757
eac962e1-0295-4e69-a266-4dab2adb4f11,Kevin Morby,United States,179447,2826068
f969f986-97df-4fa0-8cef-ffccd098ff50,Koop,Sweden,693106,10801599
85360045-c4c7-408f-92c4-0b0b8bd73c95,Led Er Est,United States,30510,496258
678d88b2-87b0-403b-b63d-5da7465aecc3,Led Zeppelin,United Kingdom,2930957,188306100
38f59974-2f4d-4bfa-b2e3-d2696de1b675,Little Mix,United Kingdom,542132,26982371
f926459e-1bd2-42a6-a174-8994ad950591,Luiz Bonfá,Brazil,120774,1089882
bfd085b8-0bbf-46b3-8ab9-193bca5c85e7,Mad Season,United States,452824,6057781
25607613-aceb-445a-8519-83a2ee0f8402,Marc Anthony,Puerto Rico; Spain; United States,436511,4706603
4ece2fc8-4825-4b7a-9eb2-a9837d139624,Marcello Giombini,Italy,4159,46604
f236134b-7ebb-4ba8-b155-1791193d05ec,Mario,United States,1034711,7163539
c5ed9685-423f-4fe5-bbf3-e31ad25002ae,Mark-Anthony Turnage,United Kingdom,4564,22967
b15f5684-f132-43a1-a577-f7f7986b31a0,Marmalade,Japan; Scotland; United Kingdom,88207,494479
e43bc702-b387-44eb-865b-3e4f93461c44,Marty Friedman,United States,123298,2398437
