artist,tags_lastfm
50 Cent,rap; Hip-Hop; Gangsta Rap; hip hop; 50 Cent; Officially Shit; seen live; hiphop; Crap; G-Unit; pop; the worst thing ever to happen to music; american; new york; shit; gangsta; east coast rap; gay; rnb; East Coast; emo; male vocalists; ponyrape; dance; 50cent; Eminem; rock; USA; 50; terrible; hip-hop and rap; alternative; 00s; Aftermath; overrated; queens; stupid; g unit
5th Ward Boyz,Gangsta Rap; rap; G-funk; Hip-Hop; southern rap; texas; political rap; Dirty South; hardcore rap; Houston; hip hop; USA; underground hip-hop; hip-hop and rap; spotify; H-Town; west side; Rap-A-Lot; Trill; southern hip-hop; Music to chief by; Houston rap; G Funk; gfunk; Rap-A-Lot Records; 5th ward boyz; 5th Ward Rap; that other shit
69 Boyz,Hip-Hop; hip hop; miami bass; rap; bass; 90s; florida; hip-hop and rap; electronic; chill; 80s; laidback; nostalgia; 1990s; booty bass; All; New Soul - Hip Hop - Rap; Booty Music; bass drum; badass bass; kick drum; Hiphopsoul; sound of my youth; yy; ysabols 90s dance; lopez 99
6L6,hardcore; noise rock; boston; metalcore; rock; alternative; alternative rock; 90s; spotify
702,rnb; 90s; Girl Groups; female vocalists; pop; soul; r and b; 702; Hip-Hop; r&b; american; hip hop; rhythm and blues; Pop RnB; chillout; urban; Nevada; female; Love; 00s; slow jams; las vegas; contemporary rnb; 90s Rnb; seen live; rap; sexy; USA; favorites; female vocals; female vocalist; Neo-Soul; r'n'b; female bands; Most Underrated Artists; Female RnB; electronica; jazz; chill; british; reggae; sad; singer-songwriter; Progressive rock; dance; memories; slow; calm; industrial; easy listening; motown; romantic; beautiful; underground hip-hop; Dreamy; Justin Timberlake; instrumental hip-hop; diva; nu soul; Mellow; inspired; Favorite Artists; Reggaeton; Pink Floyd; old school; afrobeat; anticon; emotional; irish; The Killers; cool; love songs; underrated; trio; depression; schmitz indie; english; Female Voices; Nelly Furtado; Neo Soul; romance; Missy Elliot; sweet; love song; tweet; Love it; Aaliyah; Old-School; music; girl band; favourite artists; philly soul; Ginuwine; dolls; Timbaland; best songs ever; UK Garage; sexy female vocals; Myjukebox; All
707,classic rock; AOR; rock; hard rock; 10cc; lesser known yet streamable artists; melodic rock; 70s; 80s; power pop; Progressive rock; prog; acoustic; album rock; soft rock; american; hiphop; Rock and Roll; franz ferdinand; melodic metal; november; male vocals; kaiser chiefs; SuperTramp; squeeze; The Feeling; gentle giant; lastfm radio; AOR Classic Rock; Gryphon; Melodic Hard; marianne velvart; jrcrichardson; duncan parsons; jrc richardson; marc catley; paleys watch; cakeflap; bliss band; paul bliss
808 State,electronic; acid house; techno; House; electronica; dance; Acid; Manchester; ambient; british; madchester; idm; UK; seen live; Rave; 90s; 808 State; 80s; experimental; electro; trip-hop; england; old skool; acid techno; alternative; instrumental; Rephlex; english; ambient house; indie; groove; Ambient Techno; chillout; psychedelic; club; 1990s; 808; techno manchester electronic acid house; downtempo; breakbeat; old school; oldskool; alternative dance; ztt; United Kingdom; trance; indie rock; dub; britpop; 00s; 1980s; House Society; Bestival 2008
84 Flesh,punk; punk rock; france; check this out; kbd
88 Fingers Louie,punk; punk rock; melodic hardcore; hardcore punk; hardcore; skate punk; seen live; pop punk; 90s punk; chicago; melodic punk; rock; american; 88 fingers louie; skacore; 90s; punkrock; street punk; Punk-Rock; hc punk; chicago hardcore; USA; Awesome; ska punk; Illinois; skatepunk; chicago punk; melodycore; mosh pit; fast melodic punk; Chicago Punk Rock; melodic punk hardcore
95 South,Dirty South; miami bass; booty; Hip-Hop; rap; hip hop; dubstep; bass; florida
999,punk; punk rock; British Punk; new wave; 77 punk; seen live; british; Punk 77; rock; Old School Punk; 70s; 77; UK; pop punk; london; Punk77; 80s; alternative; UK Punk; english; Oi; Classic Punk; 999; alternative rock; post-punk; england; 77 style punk; indie; 1977; All
A+,Hip-Hop; rap; hip hop; underground hip-hop; Real Rappaz; east coast hip-hop; dance; if you dont like that you are fuckin bitch; female; rock; new york; singer-songwriter; underground rap; 90s; hiphop; East Coast; Ballad; Romanian; underground; east coast rap; group; hip-hop/rap; treble; east coast hip hop; trueschool; under 20000 listeners; youngstar; Excellent Albums; LITTLE STAR; jesc; odlschool; under 70000 plays
A$AP Rocky,Hip-Hop; rap; seen live; underground hip-hop; swag; new york; cloud rap; hip hop; american; east coast hip hop; East Coast; trap; harlem; USA; male vocalists; hiphop; ASAP Rocky; asap; pop rap; east coast rap; east coast hip-hop; chopped and screwed; Trill; experimental; Dirty South; underground hip hop; alternative hip-hop; New York City; alternative rap; 10s; 2010s; based; homocore; trap rap; slamming guttural satanic buttcore
Aaliyah,rnb; soul; female vocalists; Hip-Hop; pop; Aaliyah; r&b; hip hop; 90s; american; r and b; urban; female vocalist; female; sexy; rhythm and blues; dance; rap; legend; RIP; Timbaland; slow jams; Neo-Soul; Dead; favorites; Love; beautiful; 00s; r'n'b; smooth; babygirl; chillout; alternative; funk; Neo Soul; new york; USA; black music; 90s Rnb; diva
Aaron Carter,pop; aaron carter; male vocalists; dance; 90s; seen live; Brutal Death Metal; the illest motherfucker on the streets; teen pop; Officially Shit; american; pop rock; backstreet boys; gay; shit; Nick Carter; camryn; Hip-Hop; male; emo; Barneycore; indie; rock; sexy; dance-pop; male vocal; rnb; male vocalist; guilty pleasure; dance pop; Crap; Disney; english; hiv positive; Miley Cyrus; miranda cosgrove; Soundtrack; hip hop; alternative; grindcore; USA; 00s; Nu Metal; emocore; Feel Good Music; bubblegum pop; <3; hilarity; fuck you; gaycore; boybands; reality tv; talentless; jump da fuck up; guys I would fuck; tardcore; nsync; nickelodeon; i adore this regardless of how embarrassing it is; More Gay Than a San Fransisco Man in a Hawaiian Shirt Sniffing Some Liquid Gold and Watching Sex in the City; Aaron; shit i shouldnt listen to---but unfortunately sometimes do; kiddy pop; fuck me up the ass; disney pop; gay-edge; different tunes for my ears; progressive pornogrind
Aaron Copland,Classical; contemporary classical; american; 20th Century Classical; composers; composer; instrumental; 20th Century; modern classical; classic; American composer; Soundtrack; orchestral; modernism; USA; Contemporary; aaron copland; Copland; modern; americana; queer; symphonic; All; classical music; serialism; neoclassicism; 20th century classical composer; american classical; piano; strings; Klassik; neoclassical; conductor; vivaldi; north america; Clasica; expressionist; tonal
